variable,unit,nilai,jumlah,proporsi
voltage_v,V,223.7,13508,0.00666232638888889
voltage_v,V,223.8,9020,0.00444878472222222
voltage_v,V,223.9,8998,0.00443793402777778
voltage_v,V,224,9262,0.00456814236111111
voltage_v,V,224.1,9306,0.00458984375
voltage_v,V,224.2,9108,0.0044921875
voltage_v,V,224.3,9328,0.00460069444444444
voltage_v,V,224.4,8536,0.00421006944444444
voltage_v,V,224.5,9262,0.00456814236111111
voltage_v,V,224.6,9922,0.00489366319444444
voltage_v,V,224.7,14784,0.00729166666666667
voltage_v,V,224.8,10054,0.00495876736111111
voltage_v,V,224.9,9416,0.00464409722222222
voltage_v,V,225,11110,0.00547960069444444
voltage_v,V,225.1,9680,0.00477430555555556
voltage_v,V,225.2,10450,0.00515407986111111
voltage_v,V,225.3,9834,0.00485026041666667
voltage_v,V,225.4,10274,0.00506727430555556
voltage_v,V,225.5,10032,0.00494791666666667
voltage_v,V,225.6,10648,0.00525173611111111
voltage_v,V,225.7,9878,0.00487196180555556
voltage_v,V,225.8,10252,0.00505642361111111
voltage_v,V,225.9,10252,0.00505642361111111
voltage_v,V,226,10978,0.00541449652777778
voltage_v,V,226.1,11022,0.00543619791666667
voltage_v,V,226.2,12034,0.00593532986111111
voltage_v,V,226.3,10692,0.0052734375
voltage_v,V,226.4,10824,0.00533854166666667
voltage_v,V,226.5,10934,0.00539279513888889
voltage_v,V,226.6,10934,0.00539279513888889
voltage_v,V,226.7,16566,0.00817057291666667
voltage_v,V,226.8,12144,0.00598958333333333
voltage_v,V,226.9,11044,0.00544704861111111
voltage_v,V,227,12078,0.00595703125
voltage_v,V,227.1,10890,0.00537109375
voltage_v,V,227.2,12144,0.00598958333333333
voltage_v,V,227.3,11924,0.00588107638888889
voltage_v,V,227.4,12584,0.00620659722222222
voltage_v,V,227.5,11440,0.00564236111111111
voltage_v,V,227.6,11880,0.005859375
voltage_v,V,227.7,11418,0.00563151041666667
voltage_v,V,227.8,11110,0.00547960069444444
voltage_v,V,227.9,11550,0.00569661458333333
voltage_v,V,228,14476,0.00713975694444444
voltage_v,V,228.1,16786,0.00827907986111111
voltage_v,V,228.2,12012,0.00592447916666667
voltage_v,V,228.3,11088,0.00546875
voltage_v,V,228.4,12452,0.00614149305555556
voltage_v,V,228.5,11682,0.00576171875
voltage_v,V,228.6,10846,0.00534939236111111
voltage_v,V,228.7,15158,0.00747612847222222
voltage_v,V,228.8,10868,0.00536024305555556
voltage_v,V,228.9,16368,0.00807291666666667
voltage_v,V,229,16610,0.00819227430555556
voltage_v,V,229.1,11418,0.00563151041666667
voltage_v,V,229.2,10934,0.00539279513888889
voltage_v,V,229.3,11088,0.00546875
voltage_v,V,229.4,11418,0.00563151041666667
voltage_v,V,229.5,10802,0.00532769097222222
voltage_v,V,229.6,15708,0.00774739583333333
voltage_v,V,229.7,11858,0.00584852430555556
voltage_v,V,229.8,10472,0.00516493055555556
voltage_v,V,229.9,10626,0.00524088541666667
voltage_v,V,230,10868,0.00536024305555556
voltage_v,V,230.1,9526,0.00469835069444444
voltage_v,V,230.2,10230,0.00504557291666667
voltage_v,V,230.3,10648,0.00525173611111111
voltage_v,V,230.4,10186,0.00502387152777778
voltage_v,V,230.5,9570,0.00472005208333333
voltage_v,V,230.6,14608,0.00720486111111111
voltage_v,V,230.7,10054,0.00495876736111111
voltage_v,V,230.8,9944,0.00490451388888889
voltage_v,V,230.9,9174,0.00452473958333333
voltage_v,V,231,9460,0.00466579861111111
voltage_v,V,231.1,9020,0.00444878472222222
voltage_v,V,231.2,9680,0.00477430555555556
voltage_v,V,231.3,8822,0.00435112847222222
voltage_v,V,231.4,8778,0.00432942708333333
voltage_v,V,231.5,9130,0.00450303819444444
voltage_v,V,231.6,8712,0.004296875
voltage_v,V,231.7,8602,0.00424262152777778
voltage_v,V,231.8,8140,0.00401475694444444
voltage_v,V,231.9,9064,0.00447048611111111
voltage_v,V,232,8624,0.00425347222222222
voltage_v,V,232.1,9020,0.00444878472222222
voltage_v,V,232.2,14300,0.00705295138888889
voltage_v,V,232.3,8448,0.00416666666666667
voltage_v,V,232.4,8184,0.00403645833333333
voltage_v,V,232.5,8030,0.00396050347222222
voltage_v,V,232.6,8448,0.00416666666666667
voltage_v,V,232.7,7854,0.00387369791666667
voltage_v,V,232.8,7788,0.00384114583333333
voltage_v,V,232.9,8162,0.00402560763888889
voltage_v,V,233,7238,0.00356987847222222
voltage_v,V,233.1,7392,0.00364583333333333
voltage_v,V,233.2,7920,0.00390625
voltage_v,V,233.3,7128,0.003515625
voltage_v,V,233.4,7832,0.00386284722222222
voltage_v,V,233.5,8338,0.00411241319444444
voltage_v,V,233.6,6930,0.00341796875
voltage_v,V,233.7,7744,0.00381944444444444
voltage_v,V,233.8,7942,0.00391710069444444
voltage_v,V,233.9,7128,0.003515625
voltage_v,V,234,7216,0.00355902777777778
voltage_v,V,234.1,7238,0.00356987847222222
voltage_v,V,234.2,6556,0.00323350694444444
voltage_v,V,234.3,6930,0.00341796875
voltage_v,V,234.4,6314,0.00311414930555556
voltage_v,V,234.5,6600,0.00325520833333333
voltage_v,V,234.6,6446,0.00317925347222222
voltage_v,V,234.7,7612,0.00375434027777778
voltage_v,V,234.8,6534,0.00322265625
voltage_v,V,234.9,7634,0.00376519097222222
voltage_v,V,235,6864,0.00338541666666667
voltage_v,V,235.1,7128,0.003515625
voltage_v,V,235.2,6336,0.003125
voltage_v,V,235.3,6512,0.00321180555555556
voltage_v,V,235.4,7436,0.00366753472222222
voltage_v,V,235.5,6424,0.00316840277777778
voltage_v,V,235.6,6204,0.00305989583333333
voltage_v,V,235.7,6688,0.00329861111111111
voltage_v,V,235.8,5896,0.00290798611111111
voltage_v,V,235.9,6204,0.00305989583333333
voltage_v,V,236,5962,0.00294053819444444
voltage_v,V,236.1,4664,0.00230034722222222
voltage_v,V,236.2,4928,0.00243055555555556
voltage_v,V,236.3,6138,0.00302734375
voltage_v,V,236.4,4972,0.00245225694444444
voltage_v,V,236.5,5192,0.00256076388888889
voltage_v,V,236.6,5104,0.00251736111111111
voltage_v,V,236.7,5060,0.00249565972222222
voltage_v,V,236.8,4774,0.00235460069444444
voltage_v,V,236.9,4796,0.00236545138888889
voltage_v,V,237,4334,0.00213758680555556
voltage_v,V,237.1,4906,0.00241970486111111
voltage_v,V,237.2,3850,0.00189887152777778
voltage_v,V,237.3,4070,0.00200737847222222
voltage_v,V,237.4,4488,0.00221354166666667
voltage_v,V,237.5,3718,0.00183376736111111
voltage_v,V,237.6,4422,0.00218098958333333
voltage_v,V,237.7,3498,0.00172526041666667
voltage_v,V,237.8,3806,0.00187717013888889
voltage_v,V,237.9,3476,0.00171440972222222
voltage_v,V,238,3366,0.00166015625
voltage_v,V,238.1,3410,0.00168185763888889
voltage_v,V,238.2,3454,0.00170355902777778
voltage_v,V,238.3,3520,0.00173611111111111
voltage_v,V,238.4,3300,0.00162760416666667
voltage_v,V,238.5,3256,0.00160590277777778
voltage_v,V,238.6,2992,0.00147569444444444
voltage_v,V,238.7,3014,0.00148654513888889
voltage_v,V,238.8,2508,0.00123697916666667
voltage_v,V,238.9,2750,0.00135633680555556
voltage_v,V,239,3058,0.00150824652777778
voltage_v,V,239.1,2354,0.00116102430555556
voltage_v,V,239.2,2178,0.00107421875
voltage_v,V,239.3,2508,0.00123697916666667
voltage_v,V,239.4,2442,0.00120442708333333
voltage_v,V,239.5,2222,0.00109592013888889
voltage_v,V,239.6,2332,0.00115017361111111
voltage_v,V,239.7,2596,0.00128038194444444
voltage_v,V,239.8,1958,0.000965711805555556
voltage_v,V,239.9,2354,0.00116102430555556
voltage_v,V,240,2200,0.00108506944444444
voltage_v,V,240.1,2332,0.00115017361111111
voltage_v,V,240.2,2376,0.001171875
voltage_v,V,240.3,2178,0.00107421875
voltage_v,V,240.4,2244,0.00110677083333333
voltage_v,V,240.5,1760,0.000868055555555556
voltage_v,V,240.6,2178,0.00107421875
voltage_v,V,240.7,1782,0.00087890625
voltage_v,V,240.8,1606,0.000792100694444444
voltage_v,V,240.9,1650,0.000813802083333333
voltage_v,V,241,1804,0.000889756944444444
voltage_v,V,241.1,1628,0.000802951388888889
voltage_v,V,241.2,1782,0.00087890625
voltage_v,V,241.3,1606,0.000792100694444444
voltage_v,V,241.4,1694,0.000835503472222222
voltage_v,V,241.5,1628,0.000802951388888889
